,generations,mean,max
0,1,0.05496054387047908,2.7726159107041393
1,2,0.08586805866709357,3.213918028091044
2,3,0.49193874132238946,3.793781737061735
3,4,0.7442475799756868,4.089849033001611
4,5,0.7655156820328227,3.5014117565441865
5,6,0.7616419509530976,3.6568091623653056
6,7,0.8091688065413206,3.2220488039147126
7,8,0.8516462192755574,3.634876834782613
8,9,0.9344050298857092,3.8887660303581484
9,10,0.8812895699104121,3.8887660303581484
10,11,0.9954929324198606,4.979696079819028
11,12,0.868323522239284,3.8826529217248975
12,13,0.9793369756364196,3.7682675787325954
13,14,1.0029597408206548,3.5490402778266037
14,15,1.0581410823660848,3.5490402778266037
15,16,1.0321311437590044,3.5490402778266037
16,17,0.9674097349295316,3.5490402778266037
17,18,1.0193711622927781,3.5490402778266037
18,19,0.9011273898623307,3.5490402778266037
19,20,1.0735314954508008,3.5490402778266037
20,21,1.0106935983941718,3.5490402778266037
21,22,1.0248051454683342,3.5490402778266037
22,23,1.0545897480417696,3.5490402778266037
23,24,1.0301949068579481,3.5490402778266037
24,25,1.1388393639897036,3.5490402778266037
25,26,1.1447371944452531,3.5490402778266037
26,27,1.087617659389326,3.5490402778266037
27,28,1.1474553236519935,3.5490402778266037
28,29,1.1729373463559665,3.5490402778266037
29,30,0.9827187846969874,3.5490402778266037
30,31,0.9927171305413756,3.5490402778266037
31,32,1.0207395696077084,3.5490402778266037
32,33,1.1927303193114498,3.5490402778266037
33,34,1.073755582611479,3.5490402778266037
34,35,1.1920367643165173,3.5490402778266037
35,36,1.0734468776050674,3.5490402778266037
36,37,1.205558342692709,3.5490402778266037
37,38,1.1452455742596745,3.5490402778266037
38,39,1.1012599305632955,3.5490402778266037
39,40,1.1775212118295368,3.5490402778266037
40,41,1.2044300194696724,3.5490402778266037
41,42,1.1143466759453908,3.5490402778266037
42,43,1.189564196121965,3.5490402778266037
43,44,1.081774808338803,3.5490402778266037
44,45,1.160037490256476,3.5490402778266037
45,46,1.2556378453871977,3.5490402778266037
46,47,1.1517879815951189,3.5490402778266037
47,48,1.2028330059418384,3.5490402778266037
48,49,1.2894671232411536,3.5490402778266037
49,50,1.2807114343652914,3.5490402778266037
50,51,1.1742896512024872,3.5490402778266037
51,52,1.2652583232452785,3.5490402778266037
52,53,1.2685897536907582,3.5490402778266037
53,54,1.1613892773604966,3.5490402778266037
54,55,1.2591038870245739,3.5490402778266037
55,56,1.2447762236003315,3.5490402778266037
56,57,1.1649577256952632,3.5490402778266037
57,58,1.2549622902124462,3.5490402778266037
58,59,1.262295636085024,3.5490402778266037
59,60,1.2326150016860287,3.5490402778266037
60,61,1.2707978152138202,3.5490402778266037
61,62,1.214270615087036,3.5490402778266037
62,63,1.3597696292957917,3.5490402778266037
63,64,1.272665560677129,3.5490402778266037
64,65,1.1132776300215301,3.5490402778266037
65,66,1.2283094631607714,3.5490402778266037
66,67,1.3777558347106107,3.5490402778266037
67,68,1.1779292734692184,3.5490402778266037
68,69,1.2459234351314545,3.5490402778266037
69,70,1.1318104325667533,3.5490402778266037
70,71,1.2272711543268684,3.5490402778266037
71,72,1.2739393583073102,3.5490402778266037
72,73,1.2933908179218723,3.5490402778266037
73,74,1.245462426548812,3.5490402778266037
74,75,1.1786155343972058,3.5490402778266037
75,76,1.2712635158192693,3.5490402778266037
76,77,1.1445736115127865,3.5490402778266037
77,78,1.3290495853319138,3.5490402778266037
78,79,1.2846623591954474,3.5490402778266037
79,80,1.3012249276372576,3.5490402778266037
80,81,1.2507536720151113,3.5490402778266037
81,82,1.3256471339223825,3.5490402778266037
82,83,1.2763044225179783,3.5490402778266037
83,84,1.238866899755632,3.5490402778266037
84,85,1.2788435187951408,3.5490402778266037
85,86,1.2538145232432414,3.5490402778266037
86,87,1.2822725801180355,3.5490402778266037
87,88,1.2391458208465693,3.5490402778266037
88,89,1.2919555520339034,3.5490402778266037
89,90,1.3516949146123995,3.5490402778266037
90,91,1.283324776881099,3.5490402778266037
91,92,1.3439093387996441,3.5490402778266037
92,93,1.2857126397421164,3.5490402778266037
93,94,1.2564886587304807,3.5490402778266037
94,95,1.274285420893847,3.5490402778266037
95,96,1.2290813590218663,3.5490402778266037
96,97,1.317800815710769,3.5490402778266037
97,98,1.362221830730265,3.5490402778266037
98,99,1.2463313426500284,3.5490402778266037
99,100,1.3003608832598503,3.5490402778266037
