,generations,mean,max
0,1,0.0940497845413393,3.702680805412437
1,2,0.10399330484380243,3.515703534288822
2,3,0.3951391818555584,3.758226151151672
3,4,0.6194483278478797,3.834758733350668
4,5,0.7638962734520817,4.029577944575437
5,6,0.7748655107212538,3.84306187354562
6,7,0.7732878783914456,3.676280226795413
7,8,0.8892847601540496,3.7528128089944084
8,9,0.93143097278451,3.7528128089944084
9,10,0.9383236543076136,4.073854126389532
10,11,0.9953069687752442,4.070262712837125
11,12,1.0307238558485126,4.155927904417975
12,13,0.8362884711251553,3.8274018681557247
13,14,1.1047258227415164,4.670811337648643
14,15,1.18171788174572,4.748992681897409
15,16,1.1174851848787932,4.523667448031096
16,17,0.9805276473847703,4.523667448031096
17,18,1.1439051296299536,4.285625004470852
18,19,1.050706692281791,4.629584049333571
19,20,1.1343917855982062,4.028411772779049
20,21,1.038323917236805,3.9619945853835254
21,22,1.1431052167532354,4.088950310199831
22,23,1.161460997018947,4.037795359209911
23,24,1.0812435169935326,4.670811337648643
24,25,1.156071292789811,4.670811337648643
25,26,1.1683603627431178,4.381247607623175
26,27,1.2369305306867182,4.23949817976137
27,28,1.100086749598926,4.23949817976137
28,29,1.1882216586005363,3.885565534316532
29,30,1.1137446595514466,4.271299652620481
30,31,1.219103149568917,4.271299652620481
31,32,1.209263777400233,3.6830215390544705
32,33,1.1800180137383711,4.5703063851513415
33,34,1.2145908621698784,4.064905340984923
34,35,1.1680544713287178,4.064905340984923
35,36,1.125488823191398,3.6418106999644047
36,37,1.278587726254962,3.833717260617028
37,38,1.1687006458941873,3.1811437526900486
38,39,1.1215293347049278,3.1811437526900486
39,40,1.2639345014337156,3.1811437526900486
40,41,1.340672753646041,3.1811437526900486
41,42,1.329486396526323,3.1811437526900486
42,43,1.1836501578497924,3.1811437526900486
43,44,1.1496725790130298,3.1811437526900486
44,45,1.16466299613431,3.1811437526900486
45,46,1.1917713522118607,3.1811437526900486
46,47,1.221103433249528,3.1811437526900486
47,48,1.2415108563714439,3.1811437526900486
48,49,1.280048700853294,3.1811437526900486
49,50,1.2612638084214713,3.1811437526900486
50,51,1.3299759946469651,3.1811437526900486
51,52,1.2328221442098606,3.1811437526900486
52,53,1.3150821550569811,3.1811437526900486
53,54,1.309932690856613,3.1811437526900486
54,55,1.3527858651551548,3.1811437526900486
55,56,1.2554517593302355,3.1811437526900486
56,57,1.2830370790169072,3.1811437526900486
57,58,1.2885210569085936,3.1811437526900486
58,59,1.3485703891705498,3.1811437526900486
59,60,1.1292488192190853,3.1811437526900486
60,61,1.2902743930510812,3.1811437526900486
61,62,1.3033488624354832,3.1811437526900486
62,63,1.1247655636351857,3.1811437526900486
63,64,1.1763389320270463,3.1811437526900486
64,65,1.227803458937399,3.1811437526900486
65,66,1.1826536675939665,3.1811437526900486
66,67,1.323952779838913,3.1811437526900486
67,68,1.3312762977714527,4.760033083059103
68,69,1.2487226432149896,4.760033083059103
69,70,1.1824378357532639,4.760033083059103
70,71,1.2704181162266657,4.7675092094918385
71,72,1.2476432382937483,4.070262712837125
72,73,1.1150064970305191,3.593607598112619
73,74,1.2845300664344652,4.397649618617393
74,75,1.2386811059411797,4.03448669136785
75,76,1.2384916866834208,4.03448669136785
76,77,1.3508606172737432,3.137883344776834
77,78,1.2488422376248451,3.137883344776834
78,79,1.3249081297269472,3.137883344776834
79,80,1.2241641735034146,3.137883344776834
80,81,1.369128093937091,3.137883344776834
81,82,1.4492210111688129,3.137883344776834
82,83,1.3034185002188576,3.137883344776834
83,84,1.228950487872288,3.137883344776834
84,85,1.2179927524438632,3.137883344776834
85,86,1.300553979555039,3.137883344776834
86,87,1.2715976160799032,3.137883344776834
87,88,1.2820578250709094,3.137883344776834
88,89,1.19774945117516,3.137883344776834
89,90,1.198244382461966,3.137883344776834
90,91,1.2864523185788852,3.137883344776834
91,92,1.2156108436029196,3.137883344776834
92,93,1.3710472281942392,3.137883344776834
93,94,1.2737193084412803,3.137883344776834
94,95,1.3645353825759396,3.137883344776834
95,96,1.2674646023198282,3.137883344776834
96,97,1.2798835451604227,3.137883344776834
97,98,1.2309034863407857,3.137883344776834
98,99,1.3156055755072962,3.137883344776834
99,100,1.3001545389148204,3.137883344776834
