,np_synthesis,Source_origin,method,Solvent_for_extract,Template_type,Capping_type,shape,Bio_component_class,amw,chi0v,Red_env_strength,Red_env_type,coating,Valance_electron,Solvent_polar,lipinskiHBA,CrippenClogP,hallKierAlpha,kappa1,NumHBA,np_size_avg__nm_,np_size_min__nm_,np_size_max__nm_,time_set__hours_,bacteria_strain_1,bacteria_strain_2,reward,fe,fe_bacteria_1,fe_bacteria_2
4730,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,162.91,7.67,356.96,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.17,0.17,1.33,1.16
4731,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.38,1.12,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.17,-0.17,3.11,3.28
4732,Green synthesis using Agrimonia eupatoria L.,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.47,1.05,3.83,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.09,-0.09,3.05,3.14
4733,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.1,1.68,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.05,0.05,2.37,2.32
4734,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,162.91,161.28,164.13,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,1.0,1.0,2.54,1.54
4735,Biosynthesis using bacterial isolate NMS-1 (Bacillus subtilis),lab,MIC,water,none,none,cubic,protein,107.868,1.78376517,weak,bio,0,11,1,0,-0.0025,0.74025974,1.74025974,0,30.94,0.31,54.6,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.23,-0.23,2.31,2.54
4736,Chemical_synthesis using ligand exchange,lab,MIC,water,none,none,spherical,,196.967,2.46797672,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,162.91,1.63,283.87,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.39,0.39,1.88,1.49
4737,Green synthesis using Syzygium cumini flowers,lab,MIC,ethanol,none,none,oval,phenolic,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,32.09,261.02,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.85,0.85,3.01,2.16
4738,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,150.99,1.51,263.1,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.28,0.28,1.35,1.07
4739,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,0.8,0.78,0.82,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.16,0.16,2.33,2.17
4740,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,162.91,1.63,361.67,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,0.28,0.28,1.37,1.09
4741,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.25,1.21,36.26,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.72,-0.72,3.45,4.18
4742,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),commercial,MIC,water,none,small-molecule,spherical,,107.868,1.78376517,medium,chemical,1,11,0,0,-0.0025,0.74025974,1.74025974,0,162.91,161.28,164.13,48.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.14,-0.14,1.95,2.1
4743,Green synthesis using Cupriavidus necator,lab,MIC,water,none,none,spherical,mixed,107.868,1.78376517,weak,bio,1,11,1,0,-0.0025,0.74025974,1.74025974,0,0.8,0.28,1.19,0.0,Escherichia coli ATCC 25922,Pseudomonas aeruginosa nan,-0.17,-0.17,3.11,3.28
