count,mean,std,min,25%,50%,75%,max,Column
489.0,0.5807770961145194,1.6277935034782947,0.0,0.0,0.0,0.0,7.0,source
489.0,1.6574114288536834,1.1072256394262976,-1.6989700043360187,0.8129133566428556,1.7781512503836436,2.4082399653118496,4.096910013008056,concentration
489.0,107.32100934151329,37.99115974470291,58.6934,81.3794,107.8682,107.87,231.7358,mol_weight (g/mol)
489.0,25.792924335378324,20.42734232802878,0.8,11.3,20.0,38.0,100.0,np_size_avg (nm)
489.0,20.2719836400818,7.4397616654753165,0.0,18.0,24.0,24.0,24.0,time_set
489.0,27.632556237218814,14.027837437230872,0.16,24.0,24.0,48.0,48.0,"min_Incub_period, h"
489.0,35.72597137014315,2.703701228916432,30.0,37.0,37.0,37.0,37.0,"growth_temp, C"
489.0,10.922290388548058,3.457898725502174,8.0,8.0,11.0,11.0,28.0,Valance_electron
489.0,23.711321486339468,5.062844536362613,17.41523038,22.60496136,23.00188061,23.00188061,51.55776403,labuteASA
489.0,9.986134969325152,14.065872997672914,0.0,0.0,0.0,17.07,85.5,tpsa
489.0,0.567319018404908,1.7271182561609986,0.0,0.0,0.0,0.6865,13.5675,CrippenMR
489.0,2.7568375781451944,1.1234965311456975,1.243163121,1.78376517,2.46797672,4.082482905,4.688846487,chi0v
