,Unnamed: 0,np_size_max__nm_,np_synthesis,np_size_min__nm_,np_size_avg__nm_,method,Temperature_for_extract__C,Duration_preparing_extract__min,Solvent_for_extract,time_set__hours_,shape,coating,Valance_electron,prim_specific_habitat,chi0v,amw,min_Incub_period__h,K00058,max_Incub_period__h,K12472,mdr,K07009,K17939,K14198,K07486,MIC_NP___g_mL_
22,22,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,5.075173815233827
23,23,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,6.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.560681631015528
24,24,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.393627546352362
25,25,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.243163121016122,63.546,1.5,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,5.703782474656201
26,26,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.243163121016122,63.546,4.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,4.941642422609304
27,27,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.243163121016122,63.546,4.0,1.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,4.941642422609304
28,28,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MIC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.243163121016122,63.546,4.0,1.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,4.941642422609304
29,29,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.243163121016122,63.546,4.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,5.075173815233827
30,30,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.243163121016122,63.546,4.0,1.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,5.075173815233827
31,31,16.53,chemical_synthesis using sodium borohydride and copper ions,6.86,9.25,MBC,48.07498601007275,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.243163121016122,63.546,4.0,1.0,24.0,1.0,0.0,1.0,0.0,1.0,0.0,5.075173815233827
32,32,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0.0,11.0,lungs,1.7837651700316897,107.868,3.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,4.852030263919617
33,33,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,2.772588722239781
34,34,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,6.0,1.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,5.545177444479562
35,35,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0.0,11.0,soil,1.7837651700316897,107.868,8.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4657359027997265
36,36,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.158883083359672
37,37,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0.0,11.0,"clinical samples (blood, sputum)",1.7837651700316897,107.868,18.0,1.0,48.0,1.0,0.0,1.0,0.0,1.0,0.0,5.545177444479562
38,38,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0.0,11.0,bladder,1.7837651700316897,107.868,6.0,1.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,5.545177444479562
39,39,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,6.0,1.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,5.545177444479562
40,40,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.4700036292457356
41,41,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,"clinical samples (sputum, urine)",1.7837651700316897,107.868,4.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,2.772588722239781
42,42,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,"clinical samples (blood, sputum)",1.7837651700316897,107.868,18.0,1.0,48.0,1.0,0.0,1.0,0.0,1.0,0.0,5.545177444479562
43,43,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,6.0,1.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,5.545177444479562
44,44,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,bladder,1.7837651700316897,107.868,6.0,1.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,5.545177444479562
45,45,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,skin,1.7837651700316897,107.868,6.0,1.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,5.545177444479562
46,46,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,soil,1.7837651700316897,107.868,8.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4657359027997265
47,47,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.158883083359672
48,48,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,24.0,spherical,0.0,11.0,lungs,1.7837651700316897,107.868,3.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,4.852030263919617
49,49,25.0,chemical_synthesis purchased from sigma aldrich ( citrate capped agnps),15.0,20.0,MIC,37.0,1139.4714854111403,water,18.0,spherical,1.0,11.0,guts,1.7837651700316897,107.868,1.5,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.158883083359672
