iter	RMSE
0	1.083196118
1	1.069899025
2	1.057976743
3	1.04507513
4	1.033081802
5	1.021846764
6	1.008559826
7	0.9976265551
8	0.9856469809
9	0.9746802052
10	0.9654333576
11	0.9535019785
12	0.9440136692
13	0.9346720927
14	0.9270337882
15	0.9166535149
16	0.9080333961
17	0.8993029664
18	0.8897966036
19	0.8814910773
20	0.8729482165
21	0.8650627489
22	0.8592547949
23	0.8522988076
24	0.8469972326
25	0.8403969859
26	0.834853133
27	0.8296000634
28	0.8246867881
29	0.8203934063
30	0.8155665722
31	0.8074561954
32	0.8009714915
33	0.7952196789
34	0.7869645745
35	0.7828168388
36	0.7790553087
37	0.7732311431
38	0.7668090413
39	0.7581571638
40	0.7543890705
41	0.7488100802
42	0.743999821
43	0.7403596463
44	0.7345062412
45	0.7306961012
46	0.7264372798
47	0.7237625468
48	0.7201283655
49	0.7165918059
50	0.7142370736
51	0.7113213515
52	0.7073863465
53	0.7032212643
54	0.7008807261
55	0.6988956882
56	0.6963164306
57	0.6935270189
58	0.6920304134
59	0.6897559885
60	0.6857789755
61	0.6822210632
62	0.6784075488
63	0.6750966016
64	0.6728559747
65	0.6712800955
66	0.6682309844
67	0.6664411915
68	0.6632069428
69	0.6591895745
70	0.6561299197
71	0.6537122483
72	0.6513642238
73	0.6494034183
74	0.6464785595
75	0.6441839918
76	0.6431562709
77	0.6416831935
78	0.6395151599
79	0.6368925776
80	0.6348668657
81	0.6330421001
82	0.6300403498
83	0.6277634904
84	0.6253565508
85	0.6240463597
86	0.6217985566
87	0.6186839241
88	0.6161377665
89	0.6135900608
90	0.6125416263
91	0.6114919107
92	0.6081489685
93	0.6067460646
94	0.6056429384
95	0.6047144831
96	0.6026246317
97	0.6007533474
98	0.5985231272
99	0.5960021523
100	0.5944941018
101	0.5930545761
102	0.5903925596
103	0.5893112064
104	0.5879902771
105	0.5872160968
106	0.5859198025
107	0.5835973316
108	0.5817580592
109	0.5788925831
110	0.5766190979
111	0.5743608855
112	0.5733077663
113	0.572222512
114	0.5707887791
115	0.5700694471
116	0.5694320716
117	0.5682974329
118	0.5676862366
119	0.5659167323
120	0.5651262437
121	0.564046281
122	0.5630419219
123	0.5597638266
124	0.5574576119
125	0.5564739566
126	0.5550079321
127	0.5535505144
128	0.5524111672
129	0.5515689241
130	0.5506059647
131	0.54847175
132	0.5464563977
133	0.5454031752
134	0.543536116
135	0.5429522228
136	0.5420528142
137	0.541479503
138	0.5407730636
139	0.5390387818
140	0.5371486721
141	0.5355973987
142	0.5346646691
143	0.5323928396
144	0.5314301544
145	0.5300566818
146	0.5292896781
147	0.5286786989
148	0.5275676161
149	0.5265255331
150	0.5237088045
151	0.5231627807
152	0.5221031184
153	0.5213878082
154	0.519553086
155	0.5180719316
156	0.5169793503
157	0.5155347249
158	0.5146806645
159	0.5134344624
160	0.5119698532
161	0.511192547
162	0.5097696365
163	0.5082979332
164	0.5064200832
165	0.5043064046
166	0.5028564572
167	0.5004991931
168	0.4995759999
169	0.4980032972
170	0.4965663342
171	0.4957962693
172	0.4945643931
173	0.4931965057
174	0.4920295254
175	0.4909694183
176	0.4897236585
177	0.488761206
178	0.4880603473
179	0.4875135207
180	0.4863458007
181	0.4837105616
182	0.4824156193
183	0.4807828428
184	0.4797127798
185	0.4791149191
186	0.4783719754
187	0.4772071529
188	0.4764596796
189	0.4759981257
190	0.4753151101
191	0.4741837794
192	0.4735021112
193	0.4728694476
194	0.4709753476
195	0.469651687
196	0.4681042034
197	0.4671578349
198	0.4659992591
199	0.4650404641
200	0.4640729137
201	0.4631954465
202	0.4613872577
203	0.4599241748
204	0.459208248
205	0.4576669946
206	0.4569545211
207	0.4556567281
208	0.4550114795
209	0.4540293063
210	0.4517252503
211	0.4506951555
212	0.4498742158
213	0.4487023767
214	0.447905719
215	0.4468823235
216	0.4462898219
217	0.4448117339
218	0.4442805764
219	0.4432420373
220	0.4426549591
221	0.4405549134
222	0.4391810145
223	0.438275541
224	0.4370033144
225	0.4362857768
226	0.435577755
227	0.4349530349
228	0.4340611441
229	0.4324173925
230	0.43104954
231	0.4306217378
232	0.4298873972
233	0.4293083282
234	0.4285083913
235	0.4277092651
236	0.4269389825
237	0.4250912021
238	0.4243385515
239	0.4238056929
240	0.4227642285
241	0.4220911133
242	0.4216538124
243	0.4211090397
244	0.4201384437
245	0.4182599652
246	0.4171957614
247	0.4167018347
248	0.4156582212
249	0.4146686925
250	0.4138057566
251	0.4128052643
252	0.4121989213
253	0.4115648719
254	0.4107493002
255	0.410135787
256	0.4093705583
257	0.4090074185
258	0.4083978836
259	0.4072662823
260	0.4066697099
261	0.4059355872
262	0.405101337
263	0.4049239142
264	0.404253192
265	0.4038506368
266	0.4034945504
267	0.4026606593
268	0.4018257835
269	0.4009340297
270	0.4005431889
271	0.3996534094
272	0.3987411841
273	0.3976128622
274	0.3971694626
275	0.3968999818
276	0.3958373182
277	0.3954670139
278	0.3951292768
279	0.3942936318
280	0.3936375725
281	0.3929402574
282	0.3921614982
283	0.3910705348
284	0.3904886207
285	0.3900580446
286	0.3890722671
287	0.388711427
288	0.3883740641
289	0.3878221906
290	0.3875588394
291	0.3869579211
292	0.3863230718
293	0.3860690737
294	0.3857292022
295	0.385456156
296	0.3846366816
297	0.3840250376
298	0.3826599605
299	0.3818544515
300	0.381217419
301	0.380509386
302	0.3796939261
303	0.3793196402
304	0.3786457963
305	0.3783776449
306	0.3781477675
307	0.3776771802
308	0.3772552269
309	0.3767619666
310	0.3759766538
311	0.3755212863
312	0.3747702871
313	0.374177735
314	0.373552572
315	0.3731943017
316	0.3726195632
317	0.3721319972
318	0.3718043875
319	0.3711779301
320	0.3704889929
321	0.3701939446
322	0.3698934256
323	0.369667675
324	0.3691469333
325	0.3685019317
326	0.3681952275
327	0.3680738189
328	0.3678859058
329	0.3676099734
330	0.3673764634
331	0.367055313
332	0.3662526721
333	0.3661469346
334	0.3659186683
335	0.3652996139
336	0.3649100756
337	0.3648169795
338	0.3644280325
339	0.3641742334
340	0.3640620728
341	0.3634042286
342	0.362928094
343	0.362542414
344	0.3624148914
345	0.3618595489
346	0.3613629648
347	0.361035398
348	0.3605479993
349	0.3602906015
350	0.359527178
351	0.359400114
352	0.3591726728
353	0.3590866291
